# Please cite this paper in any communication about any use of Correct@TDS : 
#  Coming soon...
#  Average over 10000 waveforms. Timestamp: unknown
#  timeaxis (ps) 	 E-field
-7.445787242535147925e+02	8.439738405666810704e-04
-7.445453912059813320e+02	7.932507118468796288e-04
-7.445120581584479851e+02	8.231174654183433508e-04
-7.444787251109145245e+02	8.147536040163638185e-04
-7.444453920633810640e+02	8.148840941978557732e-04
-7.444120590158476034e+02	7.755343827752196476e-04
-7.443787259683141428e+02	7.838790182222790670e-04
-7.443453929207806823e+02	8.182501750096832531e-04
-7.443120598732473354e+02	8.311678130158412338e-04
-7.442787268257138749e+02	8.375473983841388382e-04
-7.442453937781804143e+02	8.166631922818789200e-04
-7.442120607306469537e+02	8.154289916144555729e-04
-7.441787276831134932e+02	8.415301845085817545e-04
-7.441453946355800326e+02	8.305962992417865835e-04
-7.441120615880466858e+02	8.215156857438213030e-04
-7.440787285405132252e+02	7.843383130810727697e-04
-7.440453954929797646e+02	8.091682107413593426e-04
-7.440120624454463041e+02	8.359089867273340703e-04
-7.439787293979128435e+02	8.199760695533754671e-04
-7.439453963503794967e+02	7.980827266853638812e-04
-7.439120633028460361e+02	7.997638663622614382e-04
-7.438787302553125755e+02	7.511026559418533706e-04
-7.438453972077791150e+02	7.339385781025462539e-04
-7.438120641602456544e+02	7.330505737936829878e-04
-7.437787311127121939e+02	6.940065940751334291e-04
-7.437453980651788470e+02	6.955289097428857866e-04
-7.437120650176453864e+02	7.062483228364277617e-04
-7.436787319701119259e+02	6.798129860531439920e-04
-7.436453989225784653e+02	6.740440540303964216e-04
-7.436120658750450048e+02	6.555962832320550403e-04
-7.435787328275115442e+02	6.603178500562943438e-04
-7.435453997799781973e+02	6.539436949119055084e-04
-7.435120667324447368e+02	6.705144203549567731e-04
-7.434787336849112762e+02	6.559722405869360074e-04
-7.434454006373778157e+02	6.655794860071429691e-04
-7.434120675898443551e+02	6.674552504309694311e-04
-7.433787345423108945e+02	6.198530921957576094e-04
-7.433454014947775477e+02	6.565044302207082624e-04
-7.433120684472440871e+02	6.853889444380155231e-04
-7.432787353997106266e+02	6.505377214591587676e-04
-7.432454023521771660e+02	6.507322154068031833e-04
-7.432120693046437054e+02	6.847032308630358758e-04
-7.431787362571102449e+02	6.116639081763634595e-04
-7.431454032095768980e+02	5.996359090390073181e-04
-7.431120701620434374e+02	6.123457235840326770e-04
-7.430787371145099769e+02	5.986118543608311918e-04
-7.430454040669765163e+02	6.108551294410636536e-04
-7.430120710194430558e+02	6.059162554333166056e-04
-7.429787379719095952e+02	5.845711602890268270e-04
-7.429454049243762483e+02	5.937417738384370746e-04
-7.429120718768427878e+02	5.818069275767438547e-04
-7.428787388293093272e+02	5.934327790821845817e-04
-7.428454057817758667e+02	6.082755179560762763e-04
-7.428120727342424061e+02	6.057232943328349746e-04
-7.427787396867089456e+02	5.929291102238893295e-04
-7.427454066391755987e+02	6.197189734425293884e-04
-7.427120735916421381e+02	6.519418529191975745e-04
-7.426787405441086776e+02	6.481426612244989716e-04
-7.426454074965752170e+02	7.220670934754186594e-04
-7.426120744490417565e+02	6.965245404045249632e-04
-7.425787414015084096e+02	7.224284569222957919e-04
-7.425454083539749490e+02	7.420608171412825969e-04
-7.425120753064414885e+02	7.408541949422669647e-04
-7.424787422589080279e+02	6.911083710040523062e-04
-7.424454092113745673e+02	7.017312266469469045e-04
-7.424120761638411068e+02	7.154876597328342289e-04
-7.423787431163077599e+02	7.429895208012950994e-04
-7.423454100687742994e+02	7.529694419239714095e-04
-7.423120770212408388e+02	7.523903793104697773e-04
-7.422787439737073782e+02	7.802362115154945878e-04
-7.422454109261739177e+02	7.503300433422510195e-04
-7.422120778786404571e+02	8.111455325201966538e-04
-7.421787448311071103e+02	8.106213686311156260e-04
-7.421454117835736497e+02	8.377046677035663615e-04
-7.421120787360401891e+02	8.458827833610126166e-04
-7.420787456885067286e+02	8.831248473435900385e-04
-7.420454126409732680e+02	8.786168625128611869e-04
-7.420120795934398075e+02	9.193036418220280372e-04
-7.419787465459064606e+02	9.347579240819703763e-04
-7.419454134983730000e+02	9.644752607410784790e-04
-7.419120804508395395e+02	1.018231106234338251e-03
-7.418787474033060789e+02	9.848308241813938293e-04
-7.418454143557726184e+02	1.028561745010746773e-03
-7.418120813082391578e+02	1.070597285570261620e-03
-7.417787482607058109e+02	1.081287535195271784e-03
-7.417454152131723504e+02	1.088716249586372609e-03
-7.417120821656388898e+02	1.108405737589070791e-03
-7.416787491181054293e+02	1.127866912259032576e-03
-7.416454160705719687e+02	1.135402058967892617e-03
-7.416120830230385081e+02	1.147677003902882950e-03
