# Please cite this paper in any communication about any use of Correct@TDS : 
#  Coming soon...
#  Average over 10000 waveforms. Timestamp: unknown
#  timeaxis (ps) 	 E-field
-7.438787302553125755e+02	7.830399771216799230e-04
-7.438453972077791150e+02	7.514568031706300028e-04
-7.438120641602456544e+02	7.453178542839985826e-04
-7.437787311127121939e+02	7.435170313055388530e-04
-7.437453980651788470e+02	7.368921165042941184e-04
-7.437120650176453864e+02	7.388527135616692991e-04
-7.436787319701119259e+02	7.535530656242469356e-04
-7.436453989225784653e+02	7.523975536243420349e-04
-7.436120658750450048e+02	7.711851197032981329e-04
-7.435787328275115442e+02	8.162601069710171894e-04
-7.435453997799781973e+02	8.251251677972671955e-04
-7.435120667324447368e+02	8.454498545532606896e-04
-7.434787336849112762e+02	8.844282997246971385e-04
-7.434454006373778157e+02	8.885183326715404136e-04
-7.434120675898443551e+02	9.014566639436067145e-04
-7.433787345423108945e+02	9.159301046120626316e-04
-7.433454014947775477e+02	9.252218492171129143e-04
-7.433120684472440871e+02	9.426170310614358444e-04
-7.432787353997106266e+02	9.311936900996634764e-04
-7.432454023521771660e+02	9.338755209017922127e-04
-7.432120693046437054e+02	9.428471923830461466e-04
-7.431787362571102449e+02	9.460596701460544967e-04
-7.431454032095768980e+02	9.678610872171241296e-04
-7.431120701620434374e+02	9.638599890858369577e-04
-7.430787371145099769e+02	9.850451800973323777e-04
-7.430454040669765163e+02	9.715157747185991120e-04
-7.430120710194430558e+02	9.993732425650190838e-04
-7.429787379719095952e+02	9.798645780354953323e-04
-7.429454049243762483e+02	1.018536238602422116e-03
-7.429120718768427878e+02	1.025220556554268898e-03
-7.428787388293093272e+02	1.061598795786436933e-03
-7.428454057817758667e+02	1.089977268385936525e-03
-7.428120727342424061e+02	1.113345158931285626e-03
-7.427787396867089456e+02	1.127471310407760809e-03
-7.427454066391755987e+02	1.136485622413098287e-03
-7.427120735916421381e+02	1.158254444389631484e-03
-7.426787405441086776e+02	1.172946648442721842e-03
-7.426454074965752170e+02	1.154700328794940533e-03
-7.426120744490417565e+02	1.150744502562415497e-03
-7.425787414015084096e+02	1.161117677331007392e-03
-7.425454083539749490e+02	1.154574210108345661e-03
-7.425120753064414885e+02	1.141660404712584046e-03
-7.424787422589080279e+02	1.148088379440460622e-03
-7.424454092113745673e+02	1.125199494586672953e-03
-7.424120761638411068e+02	1.101678016931139899e-03
-7.423787431163077599e+02	1.106101647551545114e-03
-7.423454100687742994e+02	1.113370000883569071e-03
-7.423120770212408388e+02	1.110148918708028527e-03
-7.422787439737073782e+02	1.110624079464706676e-03
-7.422454109261739177e+02	1.137432421078926788e-03
-7.422120778786404571e+02	1.134000020387194128e-03
-7.421787448311071103e+02	1.138301668943906110e-03
-7.421454117835736497e+02	1.173610462365830146e-03
-7.421120787360401891e+02	1.200055893259710776e-03
-7.420787456885067286e+02	1.209063856126819632e-03
-7.420454126409732680e+02	1.252313013559263211e-03
-7.420120795934398075e+02	1.294131616267069074e-03
-7.419787465459064606e+02	1.292757460218206490e-03
-7.419454134983730000e+02	1.316754887226331740e-03
-7.419120804508395395e+02	1.332007155912087780e-03
-7.418787474033060789e+02	1.353507290507676613e-03
-7.418454143557726184e+02	1.372956472282226394e-03
-7.418120813082391578e+02	1.367220567985629170e-03
-7.417787482607058109e+02	1.353254637803837221e-03
-7.417454152131723504e+02	1.372826089435297010e-03
-7.417120821656388898e+02	1.357230664823286552e-03
-7.416787491181054293e+02	1.397834142622618285e-03
-7.416454160705719687e+02	1.406431231553317189e-03
-7.416120830230385081e+02	1.393172138978602528e-03
-7.415787499755051613e+02	1.388713680905306717e-03
-7.415454169279717007e+02	1.399961577462213377e-03
-7.415120838804382402e+02	1.399641182695106302e-03
-7.414787508329047796e+02	1.417507432835668924e-03
-7.414454177853713190e+02	1.435079596959709875e-03
-7.414120847378379722e+02	1.446165413339608541e-03
-7.413787516903045116e+02	1.478680594597860543e-03
-7.413454186427710511e+02	1.486995458339200864e-03
-7.413120855952375905e+02	1.488393690345469773e-03
-7.412787525477041299e+02	1.499600220363290787e-03
-7.412454195001706694e+02	1.522557272758029608e-03
-7.412120864526373225e+02	1.546088870442048017e-03
-7.411787534051038620e+02	1.577574839506146014e-03
-7.411454203575704014e+02	1.541569626417199374e-03
-7.411120873100369408e+02	1.582663151949189120e-03
-7.410787542625034803e+02	1.579951243935237906e-03
-7.410454212149700197e+02	1.627498671774484139e-03
-7.410120881674366728e+02	1.605489034958554155e-03
-7.409787551199032123e+02	1.621163725694296006e-03
-7.409454220723697517e+02	1.625848007912257054e-03
-7.409120890248362912e+02	1.606695064185518227e-03
-7.408787559773028306e+02	1.622046460994592794e-03
-7.408454229297693701e+02	1.634086457148197641e-03
-7.408120898822360232e+02	1.595649704513520204e-03
-7.407787568347025626e+02	1.615427730827319460e-03
-7.407454237871691021e+02	1.610946620681780964e-03
-7.407120907396356415e+02	1.618636225326397634e-03
-7.406787576921021810e+02	1.620340083307917917e-03
-7.406454246445687204e+02	1.633674557082141808e-03
-7.406120915970353735e+02	1.678351503778245483e-03
-7.405787585495019130e+02	1.679066164566239651e-03
-7.405454255019684524e+02	1.683934885636110233e-03
-7.405120924544349919e+02	1.726805311569203040e-03
-7.404787594069015313e+02	1.759879857125197207e-03
-7.404454263593680707e+02	1.799192870266786608e-03
-7.404120933118347239e+02	1.838189329274255053e-03
-7.403787602643012633e+02	1.846180095291239092e-03
-7.403454272167678027e+02	1.869282961727379046e-03
-7.403120941692343422e+02	1.895510350995332832e-03
-7.402787611217008816e+02	1.910829253263736762e-03
-7.402454280741674211e+02	1.924211291557436287e-03
-7.402120950266340742e+02	1.919673470882127557e-03
-7.401787619791006136e+02	1.951459248151297043e-03
-7.401454289315671531e+02	1.966597807814237861e-03
-7.401120958840336925e+02	1.949485706285862844e-03
-7.400787628365002320e+02	1.934772456931478949e-03
-7.400454297889668851e+02	1.931785674706570444e-03
-7.400120967414334245e+02	1.918132861472198391e-03
-7.399787636938999640e+02	1.911441951962445989e-03
-7.399454306463665034e+02	1.896642764015412383e-03
-7.399120975988330429e+02	1.879166598048388846e-03
-7.398787645512995823e+02	1.879952731170546473e-03
-7.398454315037662354e+02	1.872726995893579313e-03
-7.398120984562327749e+02	1.873213075009888583e-03
