# Please cite this paper in any communication about any use of Correct@TDS : 
#  Coming soon...
#  Average over 10000 waveforms. Timestamp: unknown
#  timeaxis (ps) 	 E-field
-7.427787396867089456e+02	8.569956185956373231e-04
-7.427454066391755987e+02	9.105918095723528234e-04
-7.427120735916421381e+02	1.003014719412718839e-03
-7.426787405441086776e+02	9.310575578989995675e-04
-7.426454074965752170e+02	1.065754675635752127e-03
-7.426120744490417565e+02	9.622568581164406276e-04
-7.425787414015084096e+02	1.074736533465008243e-03
-7.425454083539749490e+02	8.606256857809291760e-04
-7.425120753064414885e+02	1.045439711738309352e-03
-7.424787422589080279e+02	9.856133957955974523e-04
-7.424454092113745673e+02	1.010881715460124021e-03
-7.424120761638411068e+02	9.796505987536270697e-04
-7.423787431163077599e+02	9.925120820109788189e-04
-7.423454100687742994e+02	1.085757613810606420e-03
-7.423120770212408388e+02	9.921973880751729091e-04
-7.422787439737073782e+02	9.467228800350000525e-04
-7.422454109261739177e+02	1.014270751978799383e-03
-7.422120778786404571e+02	9.689224011828088609e-04
-7.421787448311071103e+02	1.080599322653871298e-03
-7.421454117835736497e+02	1.042067211319651701e-03
-7.421120787360401891e+02	1.047813587492182159e-03
-7.420787456885067286e+02	1.070807826139126518e-03
-7.420454126409732680e+02	1.020423169004433615e-03
-7.420120795934398075e+02	1.112419329273782844e-03
-7.419787465459064606e+02	1.011349820071218977e-03
-7.419454134983730000e+02	1.017380416899940805e-03
-7.419120804508395395e+02	1.105894395330827380e-03
-7.418787474033060789e+02	1.109403342618946577e-03
-7.418454143557726184e+02	1.100691398883255631e-03
-7.418120813082391578e+02	1.022444437811426609e-03
-7.417787482607058109e+02	1.194377919189187377e-03
-7.417454152131723504e+02	1.090365619776854228e-03
-7.417120821656388898e+02	1.133410067699198087e-03
-7.416787491181054293e+02	1.079557240309251317e-03
-7.416454160705719687e+02	1.135743554169376225e-03
-7.416120830230385081e+02	1.121614836901881724e-03
-7.415787499755051613e+02	1.135929387952794604e-03
-7.415454169279717007e+02	1.147289316800828313e-03
-7.415120838804382402e+02	1.147393784340685523e-03
-7.414787508329047796e+02	1.134086650615366565e-03
-7.414454177853713190e+02	1.213831276461116004e-03
-7.414120847378379722e+02	1.144799832274741476e-03
-7.413787516903045116e+02	1.204599945867759975e-03
-7.413454186427710511e+02	1.157065675648069484e-03
-7.413120855952375905e+02	1.187302452518527313e-03
-7.412787525477041299e+02	1.215798415124245664e-03
-7.412454195001706694e+02	1.244065000175793552e-03
-7.412120864526373225e+02	1.200230318742782649e-03
-7.411787534051038620e+02	1.243626651307430360e-03
-7.411454203575704014e+02	1.213985837800672044e-03
-7.411120873100369408e+02	1.208046864630944912e-03
-7.410787542625034803e+02	1.204661463158553060e-03
-7.410454212149700197e+02	1.258125186689240584e-03
-7.410120881674366728e+02	1.222785142887898449e-03
-7.409787551199032123e+02	1.260898532602288324e-03
-7.409454220723697517e+02	1.269982559106300332e-03
-7.409120890248362912e+02	1.335185079894108491e-03
-7.408787559773028306e+02	1.223609949742666741e-03
-7.408454229297693701e+02	1.242288597043489980e-03
-7.408120898822360232e+02	1.228655032522520639e-03
-7.407787568347025626e+02	1.245318733573715694e-03
-7.407454237871691021e+02	1.310085390726597673e-03
-7.407120907396356415e+02	1.244761639875471664e-03
-7.406787576921021810e+02	1.288428145093563782e-03
-7.406454246445687204e+02	1.340296786498900881e-03
-7.406120915970353735e+02	1.286278784210679758e-03
-7.405787585495019130e+02	1.316605348595554104e-03
-7.405454255019684524e+02	1.242761425819158575e-03
-7.405120924544349919e+02	1.300175608833894960e-03
-7.404787594069015313e+02	1.300908778497664913e-03
-7.404454263593680707e+02	1.351423044378610413e-03
-7.404120933118347239e+02	1.299060557541507422e-03
-7.403787602643012633e+02	1.421977770945648300e-03
-7.403454272167678027e+02	1.306098209199810581e-03
-7.403120941692343422e+02	1.417266589630792684e-03
-7.402787611217008816e+02	1.339666128057479975e-03
-7.402454280741674211e+02	1.353242205304536335e-03
-7.402120950266340742e+02	1.420879837521007083e-03
-7.401787619791006136e+02	1.352282720807709534e-03
-7.401454289315671531e+02	1.397465413058006280e-03
-7.401120958840336925e+02	1.402884358223610789e-03
-7.400787628365002320e+02	1.286728380051691293e-03
-7.400454297889668851e+02	1.418709611381684414e-03
-7.400120967414334245e+02	1.311835432020486787e-03
